mac_type,layer_idx,value,count
attn_score,8,-48,330
attn_score,8,-46,829
attn_score,8,-44,1725
attn_score,8,-42,3755
attn_score,8,-40,7334
attn_score,8,-38,13661
attn_score,8,-36,23875
attn_score,8,-34,40580
attn_score,8,-32,65202
attn_score,8,-30,101220
attn_score,8,-28,150092
attn_score,8,-26,214996
attn_score,8,-24,295729
attn_score,8,-22,394854
attn_score,8,-20,509452
attn_score,8,-18,635369
attn_score,8,-16,772095
attn_score,8,-14,908984
attn_score,8,-12,1043589
attn_score,8,-10,1162420
attn_score,8,-8,1265793
attn_score,8,-6,1342864
attn_score,8,-4,1395894
attn_score,8,-2,1414311
attn_score,8,0,1409726
attn_score,8,2,1377624
attn_score,8,4,1321332
attn_score,8,6,1244276
attn_score,8,8,1154301
attn_score,8,10,1053139
attn_score,8,12,946963
attn_score,8,14,838860
attn_score,8,16,731484
attn_score,8,18,631689
attn_score,8,20,535600
attn_score,8,22,451880
attn_score,8,24,374965
attn_score,8,26,308396
attn_score,8,28,251281
attn_score,8,30,201208
attn_score,8,32,158020
attn_score,8,34,121966
attn_score,8,36,92402
attn_score,8,38,67098
attn_score,8,40,47358
attn_score,8,42,32250
attn_score,8,44,20864
attn_score,8,46,12714
attn_score,8,48,7239
attn_score,8,50,3951
attn_score,8,52,2047
attn_score,8,54,1009
attn_score,8,56,538
attn_score,8,58,312
attn_score,8,60,149
attn_score,8,62,56
attn_score,8,64,19
attn_score,9,-54,1
attn_score,9,-52,7
attn_score,9,-50,43
attn_score,9,-48,97
attn_score,9,-46,284
attn_score,9,-44,692
attn_score,9,-42,1742
attn_score,9,-40,3765
attn_score,9,-38,7574
attn_score,9,-36,13458
attn_score,9,-34,24025
attn_score,9,-32,39972
attn_score,9,-30,63064
attn_score,9,-28,95451
attn_score,9,-26,138320
attn_score,9,-24,195182
attn_score,9,-22,265042
attn_score,9,-20,350801
attn_score,9,-18,449485
attn_score,9,-16,562010
attn_score,9,-14,686523
attn_score,9,-12,818368
attn_score,9,-10,954266
attn_score,9,-8,1092662
attn_score,9,-6,1220463
attn_score,9,-4,1331292
attn_score,9,-2,1420586
attn_score,9,0,1480733
attn_score,9,2,1508703
attn_score,9,4,1501670
attn_score,9,6,1463673
attn_score,9,8,1394026
